ID,State,State_Name,Location_Name,Postcode,TourismRegion_Name,DNSW Classification,DNSW Classification + Regional NSW (SA4),SA2_Name,SA3_Name,SA4_Name,LGA_Name,SD_Name,SLA_Name
5545,1,New South Wales,Murrah NSW,2550,South Coast,Regional NSW,Capital Region,Bega-Eden Hinterland,South Coast,Capital Region,Bega Valley (A),South Eastern,Bega Valley (A)
5546,1,New South Wales,Murrami NSW,2705,Riverina,Regional NSW,Riverina,Griffith Region,Griffith - Murrumbidgee (West),Riverina,Leeton (A),Murrumbidgee,Leeton (A)
5547,1,New South Wales,Murramarang NSW,2536,South Coast,Regional NSW,Capital Region,Eurobodalla Hinterland,South Coast,Capital Region,Shoalhaven (C),Illawarra,Shoalhaven (C) - Pt B
5548,1,New South Wales,Murrawal NSW,2357,Central NSW,Regional NSW,Far West and Orana,Coonabarabran,Dubbo,Far West and Orana,Warrumbungle Shire (A),North Western,Warrumbungle Shire (A)
5549,1,New South Wales,Murrawombie NSW,2831,Outback NSW,Regional NSW,Far West and Orana,Nyngan - Warren,Bourke - Cobar - Coonamble,Far West and Orana,Bogan (A),North Western,Bogan (A)
5550,1,New South Wales,Murray Downs NSW,3585,The Murray,Regional NSW,Murray,Deniliquin Region,Upper Murray exc. Albury,Murray,Wakool (A),Murray,Wakool (A)
5551,1,New South Wales,Murray Gorge NSW,2642,Snowy Mountains,Regional NSW,Riverina,Tumbarumba,Tumut - Tumbarumba,Riverina,Tumbarumba (A),Murray,Tumbarumba (A)
5552,1,New South Wales,Murrays Beach NSW,2281,Hunter,Hunter,Hunter,Swansea - Caves Beach,Lake Macquarie - East,Newcastle and Lake Macquarie,Lake Macquarie (C),Hunter,Lake Macquarie (C) - East
5553,1,New South Wales,Murrays Crossing NSW,2642,Snowy Mountains,Regional NSW,Riverina,Tumbarumba,Tumut - Tumbarumba,Riverina,Tumbarumba (A),Murray,Tumbarumba (A)
5554,1,New South Wales,Murrays Run NSW,2325,Hunter,Hunter,Hunter,Cessnock Region,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
5555,1,New South Wales,Murrengenburg NSW,2536,South Coast,Regional NSW,Capital Region,Eurobodalla Hinterland,South Coast,Capital Region,Eurobodalla (A),South Eastern,Eurobodalla (A)
5556,1,New South Wales,Murrin Bridge NSW,2877,Outback NSW,Regional NSW,Far West and Orana,Cobar,Bourke - Cobar - Coonamble,Far West and Orana,Cobar (A),North Western,Cobar (A)
5557,1,New South Wales,Murringo NSW,2586,Capital Country,Regional NSW,Capital Region,Young Region,Goulburn - Yass,Capital Region,Young (A),South Eastern,Young (A)
5558,1,New South Wales,Murroon NSW,2340,New England North West,Regional NSW,New England and North West,Tamworth - West,Tamworth - Gunnedah,New England and North West,Tamworth Regional (A),Northern,Tamworth Regional (A) - Pt A
5559,1,New South Wales,Murrulebale NSW,2652,Riverina,Regional NSW,Riverina,Wagga Wagga Region,Wagga Wagga,Riverina,Coolamon (A),Murrumbidgee,Coolamon (A)
5560,1,New South Wales,Murrumbateman NSW,2582,Capital Country,Regional NSW,Capital Region,Yass Region,Goulburn - Yass,Capital Region,Yass Valley (A),South Eastern,Yass Valley (A)
5561,1,New South Wales,Murrumbidgerie NSW,2830,Central NSW,Regional NSW,Far West and Orana,Dubbo Region,Dubbo,Far West and Orana,Dubbo (C),North Western,Dubbo (C) - Pt B
5562,1,New South Wales,Murrumbo NSW,2849,Central NSW,Regional NSW,Central West,Mudgee Region - East,Lithgow - Mudgee,Central West,Mid-Western Regional (A),Central West,Mid-Western Regional (A) - Pt B
5563,1,New South Wales,Murrumbucca NSW,2630,Snowy Mountains,Regional NSW,Capital Region,Cooma Region,Snowy Mountains,Capital Region,Cooma-Monaro (A),South Eastern,Cooma-Monaro (A)
5564,1,New South Wales,Murrumburrah NSW,2587,Capital Country,Regional NSW,Capital Region,Young Region,Goulburn - Yass,Capital Region,Harden (A),South Eastern,Harden (A)
5565,1,New South Wales,Murrurundi NSW,2338,Hunter,Hunter,Hunter,Scone Region,Upper Hunter,Hunter Valley exc Newcastle,Upper Hunter Shire (A),Hunter,Upper Hunter Shire (A)
5566,1,New South Wales,Murulla North NSW,2338,Hunter,Hunter,Hunter,Scone Region,Upper Hunter,Hunter Valley exc Newcastle,Upper Hunter Shire (A),Hunter,Upper Hunter Shire (A)
5567,1,New South Wales,Murulla NSW,2338,Hunter,Hunter,Hunter,Scone Region,Upper Hunter,Hunter Valley exc Newcastle,Upper Hunter Shire (A),Hunter,Upper Hunter Shire (A)
5568,1,New South Wales,Murwillumbah NSW,2484,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Murwillumbah,Tweed Valley,Richmond - Tweed,Tweed (A),Richmond-Tweed,Tweed (A) - Pt B
5569,1,New South Wales,Murwillumbah South NSW,2484,Northern Rivers Tropical NSW,Regional NSW,Richmond - Tweed,Murwillumbah,Tweed Valley,Richmond - Tweed,Tweed (A),Richmond-Tweed,Tweed (A) - Pt B
5570,1,New South Wales,Muscle Creek NSW,2333,Hunter,Hunter,Hunter,Muswellbrook Region,Upper Hunter,Hunter Valley exc Newcastle,Muswellbrook (A),Hunter,Muswellbrook (A)
5571,1,New South Wales,Muswellbrook North NSW,2333,Hunter,Hunter,Hunter,Muswellbrook,Upper Hunter,Hunter Valley exc Newcastle,Muswellbrook (A),Hunter,Muswellbrook (A)
5572,1,New South Wales,Muswellbrook NSW,2333,Hunter,Hunter,Hunter,Muswellbrook,Upper Hunter,Hunter Valley exc Newcastle,Muswellbrook (A),Hunter,Muswellbrook (A)
5573,1,New South Wales,Muswellbrook South NSW,2333,Hunter,Hunter,Hunter,Muswellbrook,Upper Hunter,Hunter Valley exc Newcastle,Muswellbrook (A),Hunter,Muswellbrook (A)
5574,1,New South Wales,Mutawintji NSW,2880,Outback NSW,Regional NSW,Far West and Orana,Far West,Broken Hill and Far West,Far West and Orana,Unincorporated NSW,Far West,Unincorp. Far West
5575,1,New South Wales,Muttama NSW,2722,Riverina,Regional NSW,Riverina,Cootamundra,Wagga Wagga,Riverina,Gundagai (A),Murrumbidgee,Gundagai (A)
5576,1,New South Wales,Myall (Hunter) NSW,2334,Hunter,Hunter,Hunter,Branxton - Greta - Pokolbin,Lower Hunter,Hunter Valley exc Newcastle,Cessnock (C),Hunter,Cessnock (C)
5577,1,New South Wales,Myall (New England NW) NSW,2356,New England North West,Regional NSW,New England and North West,Narrabri Region,Moree - Narrabri,New England and North West,Narrabri (A),Northern,Narrabri (A)
5578,1,New South Wales,Myall (North Coast) NSW,2423,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
5579,1,New South Wales,Myall Creek (Dungog) NSW,2311,Hunter,Hunter,Hunter,Dungog,Lower Hunter,Hunter Valley exc Newcastle,Dungog (A),Hunter,Dungog (A)
5580,1,New South Wales,Myall Creek (New England NW) NSW,2403,New England North West,Regional NSW,New England and North West,Inverell Region - West,Inverell - Tenterfield,New England and North West,Inverell (A),Northern,Inverell (A) - Pt A
5581,1,New South Wales,Myall Creek (Singleton) NSW,2330,Hunter,Hunter,Hunter,Singleton Region,Lower Hunter,Hunter Valley exc Newcastle,Singleton (A),Hunter,Singleton (A)
5582,1,New South Wales,Myall Downs (Central West NSW) NSW,2829,Central NSW,Regional NSW,Far West and Orana,Coonamble,Bourke - Cobar - Coonamble,Far West and Orana,Coonamble (A),North Western,Coonamble (A)
5583,1,New South Wales,Myall Downs (New England NW) NSW,2408,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Gwydir (A),Northern,Gwydir (A)
5584,1,New South Wales,Myall Hollow NSW,2390,New England North West,Regional NSW,New England and North West,Narrabri Region,Moree - Narrabri,New England and North West,Narrabri (A),Northern,Narrabri (A)
5585,1,New South Wales,Myall Lake NSW,2423,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
5586,1,New South Wales,Myall Lakes NSW,2423,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
5587,1,New South Wales,Myall Lower NSW,2423,North Coast NSW,Regional NSW,Mid North Coast,Bulahdelah - Stroud,Great Lakes,Mid North Coast,Great Lakes (A),Hunter,Great Lakes (A)
5588,1,New South Wales,Myall Park NSW,2680,Riverina,Regional NSW,Riverina,Griffith Region,Griffith - Murrumbidgee (West),Riverina,Griffith (C),Murrumbidgee,Griffith (C)
5589,1,New South Wales,Myall Plains NSW,2400,New England North West,Regional NSW,New England and North West,Moree Region,Moree - Narrabri,New England and North West,Moree Plains (A),Northern,Moree Plains (A)
